User,num.of.tweets
@Rbloggers,7379
@hadleywickham,12500
@timelyportfolio,9629
@recology_,15100
@revodavid,6332
@chlalanne,8971
@adolfoalvarez,10500
@RLangTip,1066
@jmgomez,7823
@sagebiel,4516
@msgbimathbubble,7451
@DailyRpackage,666
@abresler,19400
@sharon000,7680
@zentree,17700
@ramnath_vaidya,2501
@statisticsblog,2078
@ucfagls,8862
@rOpenSci,2729
@NewsDataScience,50200
@KirkDBorne,33000
@LearnRinaDay,404
@Jowanza,32600
@kaz_yos,4924
@MangoTheCat,1167
@mjcavaretta,8759
@Jeff88Ho,164000
@statsforbios,3103
@rmflight,3534
@gvegayon,2091
@DominoDataLab,1398
@monsoontrader,14700
@genetics_blog,9691
@romain_francois,2169
@kdnuggets,19800
@TysonDube,1014
@eddelbuettel,2236
@Data88Geek,139000
@hrbrmstr,50000
@NoSQLDigest,330000
@msgbi,21400
@randyzwitch,16400
@kwbroman,5548
@noamross,7038
@zevross,1269
@AriBFriedman,7770
@arun_sriniv,623
@BigDataGal,6642
@inside_R,629
@quandl,1098
@cpsievert,1932
@desertnaut,10800
@gappy3000,15400
@AntoViral,2836
@Data88Smart,87700
@kevin_ushey,1158
@noticiasSobreR,492
@hexheadtn,6969
@drago_carlo,2055
@nishantsbi,1541
@stefanbache,963
@_inundata,10700
@millerdl,12100
@tylerrinker,381
@znmeb,150000
@darinself,8602
@frod_san,1284
@johannux,2055
@kevinkeenan_,1746
@srsupp,5040
@JulianHi,1377
@joshua_ulrich,3101
@PPUAMX,29400
@TrevorABranch,16400
@ianjacobs,1861
@FxCebx,8750
@IronistM,2921
@M_T_Patterson,1645
@cloudHPC,954
@tangming2005,4227
@thosjleeper,3989
@StatsInTheWild,11500
@kylehamilton,6634
@JeromyAnglim,1266
@analysis_factor,2513
@jackwmson,111000
@treycausey,28700
@BenBondLamberty,2976
@R_Programming,250
@CalvinMoree,3089
@ProfRedOwl,8236
@aschinchon,692
@dutchlight360,71400
@moorejh,24800
@phylorich,3765
@sjackman,7135
@JGreenbrookHeld,9982
@TATA_BOX,2687
@artem_klevtsov,358
@frenchrh,4210
@DiegoKuonen,11400
@Soc_Net_Intel,13800
@YhatHQ,3468
@andyteucher,1618
@lgatt0,3977
@AdiePrestone,11300
@gawbul,38100
@idigdata,4737
@thanhtungmilan,9984
@ChrisGandrud,921
@RevoAndrie,857
@gsantosgo,2689
@jjgibaja,20200
@datennutzen,358
@davidjayharris,8502
@fellgernon,1520
@i_314,1329
@kara_woo,9435
@orlandomezquita,2489
@quandlsean,371
@SergeyKochergan,18600
@_NickGolding_,3656
