"User","count"
"@Rbloggers",1081
"@hadleywickham",498
"@timelyportfolio",427
"@recology_",419
"@revodavid",210
"@chlalanne",209
"@adolfoalvarez",199
"@RLangTip",175
"@jmgomez",160
"@sagebiel",160
"@msgbimathbubble",157
"@DailyRpackage",155
"@abresler",152
"@sharon000",145
"@zentree",139
"@ramnath_vaidya",138
"@statisticsblog",134
"@ucfagls",132
"@rOpenSci",131
"@NewsDataScience",121
"@KirkDBorne",116
"@LearnRinaDay",114
"@Jowanza",112
"@kaz_yos",106
"@MangoTheCat",105
"@mjcavaretta",105
"@Jeff88Ho",104
"@statsforbios",104
"@rmflight",103
"@gvegayon",102
"@DominoDataLab",101
"@monsoontrader",101
"@genetics_blog",99
"@romain_francois",99
"@kdnuggets",94
"@TysonDube",90
"@eddelbuettel",90
"@Gliders_Coach",86
"@Data88Geek",85
"@hrbrmstr",85
"@NoSQLDigest",82
"@msgbi",79
"@randyzwitch",79
"@kwbroman",78
"@noamross",78
"@zevross",76
"@AriBFriedman",73
"@arun_sriniv",73
"@BigDataGal",72
"@inside_R",71
"@quandl",71
"@cpsievert",68
"@desertnaut",67
"@gappy3000",67
"@AntoViral",66
"@Data88Smart",66
"@kevin_ushey",66
"@noticiasSobreR",66
"@hexheadtn",64
"@drago_carlo",63
"@nishantsbi",63
"@stefanbache",63
"@_inundata",60
"@millerdl",60
"@tylerrinker",58
"@znmeb",58
"@darinself",57
"@frod_san",56
"@johannux",56
"@kevinkeenan_",56
"@srsupp",56
"@JulianHi",55
"@joshua_ulrich",55
"@PPUAMX",54
"@TrevorABranch",53
"@ianjacobs",53
"@FxCebx",52
"@IronistM",52
"@M_T_Patterson",52
"@cloudHPC",52
"@tangming2005",52
"@thosjleeper",52
"@StatsInTheWild",51
"@kylehamilton",51
"@JeromyAnglim",50
"@analysis_factor",50
"@jackwmson",50
"@treycausey",50
"@BenBondLamberty",49
"@R_Programming",49
"@CalvinMoree",48
"@ProfRedOwl",48
"@aschinchon",48
"@dutchlight360",47
"@moorejh",46
"@phylorich",46
"@sjackman",46
"@JGreenbrookHeld",45
"@TATA_BOX",45
"@artem_klevtsov",45
"@frenchrh",45
"@DiegoKuonen",44
"@Soc_Net_Intel",44
"@YhatHQ",44
"@andyteucher",44
"@lgatt0",44
"@AdiePrestone",43
"@gawbul",43
"@idigdata",43
"@thanhtungmilan",43
"@ChrisGandrud",42
"@RevoAndrie",42
"@gsantosgo",42
"@jjgibaja",42
"@datennutzen",41
"@davidjayharris",41
"@fellgernon",41
"@i_314",41
"@kara_woo",41
"@orlandomezquita",41
"@quandlsean",41
"@DistribEcology",40
"@SergeyKochergan",40
"@_NickGolding_",40
"@polesasunder",40
"@masemresearch",39
"@mattgarciablitz",39
"@siah",39
"@Altons",38
"@BodoBrueckner",38
"@BrockTibert",38
"@bostondatacomm",38
"@datalies",38
"@neilfws",38
"@riannone",38
"@southmapr",38
"@ArturoErdely",37
"@DEAGiles",37
"@grserrano_",37
"@hspter",37
"@FreedomAnalytix",36
"@NestorMontano",36
"@mmeierer",36
"@naupakaz",36
"@tomjwebb",36
"@DrLyndonWalker",35
"@HarlanH",35
"@PhilipDBest",35
"@TrestleJeff",35
"@emilopezcano",35
"@lucaborger",35
"@Aousabdo",34
"@REALMattRichie",34
"@algaebarnacle",34
"@benjaminlmoore",34
"@dasaptaerwin",34
